position_id,trader_id,strategy_id,instrument_id,account_id,opening_order_id,closing_order_id,entry,side,quantity,peak_qty,ts_init,ts_opened,ts_last,ts_closed,duration_ns,avg_px_open,avg_px_close,commissions,realized_return,realized_pnl,is_snapshot
ES.SIM-IFVGRetestStrategy-001-4a978389-8015-4909-b75f-0287e8ce9c49,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-085400-001-001-1,O-20240102-092600-001-001-2,BUY,FLAT,0,2,1704185640000000000,2024-01-02 08:54:00+00:00,1704187560000000000,2024-01-02 09:26:00+00:00,1920000000000,5146.63,5139.43,['0.00 USD'],-0.0014,-720.00 USD,True
ES.SIM-IFVGRetestStrategy-001-72b42f3a-c952-4632-8b41-06ee8d5c9050,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-115400-001-001-3,O-20240102-143300-001-001-4,SELL,FLAT,0,2,1704196440000000000,2024-01-02 11:54:00+00:00,1704205980000000000,2024-01-02 14:33:00+00:00,9540000000000,5107.44,5107.18,['0.00 USD'],5e-05,26.00 USD,True
ES.SIM-IFVGRetestStrategy-001-680b7fa7-1748-4a9d-94b6-3fab6d7e24fe,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240102-150800-001-001-5,O-20240102-161100-001-001-6,SELL,FLAT,0,2,1704208080000000000,2024-01-02 15:08:00+00:00,1704211860000000000,2024-01-02 16:11:00+00:00,3780000000000,5100.24,5100.78,['0.00 USD'],-0.00011,-54.00 USD,True
ES.SIM-IFVGRetestStrategy-001-8345def1-651d-4016-b6ac-d6a21756b5b7,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-093200-001-001-7,O-20240103-122200-001-001-8,BUY,FLAT,0,2,1704274320000000000,2024-01-03 09:32:00+00:00,1704284520000000000,2024-01-03 12:22:00+00:00,10200000000000,5096.25,5086.38,['0.00 USD'],-0.00194,-987.00 USD,True
ES.SIM-IFVGRetestStrategy-001-5f94909a-1857-4f93-9fcd-e95590739f07,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-124600-001-001-9,O-20240103-150100-001-001-10,SELL,FLAT,0,2,1704285960000000000,2024-01-03 12:46:00+00:00,1704294060000000000,2024-01-03 15:01:00+00:00,8100000000000,5082.92,5079.18,['0.00 USD'],0.00074,374.00 USD,True
ES.SIM-IFVGRetestStrategy-001-49fc99f5-70ce-4489-8380-8f6a75fbc6ff,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240103-165500-001-001-11,O-20240103-180100-001-001-12,SELL,FLAT,0,2,1704300900000000000,2024-01-03 16:55:00+00:00,1704304860000000000,2024-01-03 18:01:00+00:00,3960000000000,5069.32,5079.45,['0.00 USD'],-0.002,-1013.00 USD,True
ES.SIM-IFVGRetestStrategy-001-8d0b1929-b41f-4d35-9826-87700d001710,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-070300-001-001-13,O-20240104-120700-001-001-14,BUY,FLAT,0,2,1704351780000000000,2024-01-04 07:03:00+00:00,1704370020000000000,2024-01-04 12:07:00+00:00,18240000000000,5069.05,5058.66,['0.00 USD'],-0.00205,-1039.00 USD,True
ES.SIM-IFVGRetestStrategy-001-7206aa1c-0a07-40b2-9c0c-08e927140832,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240104-163400-001-001-15,O-20240104-214100-001-001-17,SELL,FLAT,0,2,1704386040000000000,2024-01-04 16:34:00+00:00,1704404460000000000,2024-01-04 21:41:00+00:00,18420000000000,5077.85,5052.395,['0.00 USD'],0.00501,2545.50 USD,True
ES.SIM-IFVGRetestStrategy-001-952c9881-ce46-4267-bb13-48eb915d4901,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-134200-001-001-18,O-20240105-163000-001-001-20,BUY,FLAT,0,2,1704462120000000000,2024-01-05 13:42:00+00:00,1704472200000000000,2024-01-05 16:30:00+00:00,10080000000000,5018.94,5050.925,['0.00 USD'],0.00637,3198.50 USD,True
ES.SIM-IFVGRetestStrategy-001-a930790a-3c05-4ceb-a934-50eeeef2b83e,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-163300-001-001-21,O-20240105-170800-001-001-22,BUY,FLAT,0,2,1704472380000000000,2024-01-05 16:33:00+00:00,1704474480000000000,2024-01-05 17:08:00+00:00,2100000000000,5062.92,5053.06,['0.00 USD'],-0.00195,-986.00 USD,True
ES.SIM-IFVGRetestStrategy-001-286ebf3a-7960-404b-9318-f4710aca58bb,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240105-172900-001-001-23,O-20240105-184000-001-001-24,SELL,FLAT,0,2,1704475740000000000,2024-01-05 17:29:00+00:00,1704480000000000000,2024-01-05 18:40:00+00:00,4260000000000,5043.46,5055.73,['0.00 USD'],-0.00243,-1227.00 USD,True
ES.SIM-IFVGRetestStrategy-001-71614cf7-e307-4145-b336-ce550207c74d,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-091400-001-001-25,O-20240108-093100-001-001-26,BUY,FLAT,0,2,1704705240000000000,2024-01-08 09:14:00+00:00,1704706260000000000,2024-01-08 09:31:00+00:00,1020000000000,5041.33,5031.47,['0.00 USD'],-0.00196,-986.00 USD,True
ES.SIM-IFVGRetestStrategy-001-68525a1b-4855-40f9-b9e7-49c786a4c088,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-095800-001-001-27,O-20240108-121500-001-001-28,SELL,FLAT,0,2,1704707880000000000,2024-01-08 09:58:00+00:00,1704716100000000000,2024-01-08 12:15:00+00:00,8220000000000,5038.4,5048.26,['0.00 USD'],-0.00196,-986.00 USD,True
ES.SIM-IFVGRetestStrategy-001-20ef54fc-aa5b-4768-9569-b3466790deb6,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240108-130400-001-001-29,O-20240108-214100-001-001-31,BUY,FLAT,0,2,1704719040000000000,2024-01-08 13:04:00+00:00,1704750060000000000,2024-01-08 21:41:00+00:00,31020000000000,5050.13,5093.3150000000005,['0.00 USD'],0.00855,4318.50 USD,True
ES.SIM-IFVGRetestStrategy-001-2329eb2d-8e35-4f24-b2e2-15576eac37b4,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-071300-001-001-32,O-20240109-151100-001-001-34,SELL,FLAT,0,2,1704784380000000000,2024-01-09 07:13:00+00:00,1704813060000000000,2024-01-09 15:11:00+00:00,28680000000000,5113.57,5097.31,['0.00 USD'],0.00318,1626.00 USD,True
ES.SIM-IFVGRetestStrategy-001-254674f6-a91c-4fdc-a141-a4eea0f9b95c,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-175100-001-001-35,O-20240109-180300-001-001-36,SELL,FLAT,0,2,1704822660000000000,2024-01-09 17:51:00+00:00,1704823380000000000,2024-01-09 18:03:00+00:00,720000000000,5114.37,5119.44,['0.00 USD'],-0.00099,-507.00 USD,True
ES.SIM-IFVGRetestStrategy-001-88aa3624-e2bf-4dd1-a4f7-968b6ebca7ff,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240109-202700-001-001-37,O-20240109-205300-001-001-38,SELL,FLAT,0,2,1704832020000000000,2024-01-09 20:27:00+00:00,1704833580000000000,2024-01-09 20:53:00+00:00,1560000000000,5110.64,5108.78,['0.00 USD'],0.00036,186.00 USD,True
ES.SIM-IFVGRetestStrategy-001-3113d6c1-ceed-4f62-8ea2-ba50d7eab0e8,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-061300-001-001-39,O-20240110-115000-001-001-40,BUY,FLAT,0,2,1704867180000000000,2024-01-10 06:13:00+00:00,1704887400000000000,2024-01-10 11:50:00+00:00,20220000000000,5108.51,5108.78,['0.00 USD'],5e-05,27.00 USD,True
ES.SIM-IFVGRetestStrategy-001-202126d1-6f1e-46f9-8668-80c1c6dd7b9d,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-125800-001-001-41,O-20240110-143300-001-001-42,SELL,FLAT,0,2,1704891480000000000,2024-01-10 12:58:00+00:00,1704897180000000000,2024-01-10 14:33:00+00:00,5700000000000,5110.91,5119.71,['0.00 USD'],-0.00172,-880.00 USD,True
ES.SIM-IFVGRetestStrategy-001-88d8231d-7b38-48ca-94d3-02bd27331a20,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240110-175300-001-001-43,O-20240110-202200-001-001-45,BUY,FLAT,0,2,1704909180000000000,2024-01-10 17:53:00+00:00,1704918120000000000,2024-01-10 20:22:00+00:00,8940000000000,5125.57,5137.835,['0.00 USD'],0.00239,1226.50 USD,True
ES.SIM-IFVGRetestStrategy-001-a34a4d9e-78bd-4aa5-bed8-fb59abd4c96c,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-092400-001-001-46,O-20240111-133100-001-001-47,BUY,FLAT,0,2,1704965040000000000,2024-01-11 09:24:00+00:00,1704979860000000000,2024-01-11 13:31:00+00:00,14820000000000,5151.96,5135.97,['0.00 USD'],-0.0031,-1599.00 USD,True
ES.SIM-IFVGRetestStrategy-001-59b98e41-d03f-475d-ace6-7d0c22860199,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-144500-001-001-48,O-20240111-152200-001-001-50,SELL,FLAT,0,2,1704984300000000000,2024-01-11 14:45:00+00:00,1704986520000000000,2024-01-11 15:22:00+00:00,2220000000000,5141.83,5118.77,['0.00 USD'],0.00448,2306.00 USD,True
ES.SIM-IFVGRetestStrategy-001-6350281a-533c-405e-a804-52832ac87cce,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240111-161000-001-001-51,O-20240111-174200-001-001-52,SELL,FLAT,0,2,1704989400000000000,2024-01-11 16:10:00+00:00,1704994920000000000,2024-01-11 17:42:00+00:00,5520000000000,5106.11,5105.58,['0.00 USD'],0.0001,53.00 USD,True
ES.SIM-IFVGRetestStrategy-001-a574df8d-c81a-4b4d-bdcc-fdc29ec99e2d,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-085300-001-001-53,O-20240112-123400-001-001-55,SELL,FLAT,0,2,1705049580000000000,2024-01-12 08:53:00+00:00,1705062840000000000,2024-01-12 12:34:00+00:00,13260000000000,5134.9,5117.4400000000005,['0.00 USD'],0.0034,1746.00 USD,True
ES.SIM-IFVGRetestStrategy-001-f8bac0d1-561a-46ba-be3a-c8d8f9137ed0,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-134300-001-001-56,O-20240112-142600-001-001-57,SELL,FLAT,0,2,1705066980000000000,2024-01-12 13:43:00+00:00,1705069560000000000,2024-01-12 14:26:00+00:00,2580000000000,5131.43,5145.03,['0.00 USD'],-0.00265,-1360.00 USD,True
ES.SIM-IFVGRetestStrategy-001-672cad57-cdaf-4eb1-9145-39d898a31248,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240112-154700-001-001-58,O-20240112-160900-001-001-59,SELL,FLAT,0,2,1705074420000000000,2024-01-12 15:47:00+00:00,1705075740000000000,2024-01-12 16:09:00+00:00,1320000000000,5133.83,5133.83,['0.00 USD'],0.0,0.00 USD,True
ES.SIM-IFVGRetestStrategy-001-b96985bb-476b-422c-9c9b-a1b0ab877b96,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240115-082600-001-001-60,O-20240115-230100-001-001-61,SELL,FLAT,0,2,1705307160000000000,2024-01-15 08:26:00+00:00,1705359660000000000,2024-01-15 23:01:00+00:00,52500000000000,5139.97,5130.9,['0.00 USD'],0.00176,907.00 USD,True
ES.SIM-IFVGRetestStrategy-001-9a3f800c-8cdc-493c-a7e4-713aea766230,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240116-091500-001-001-62,O-20240116-132600-001-001-63,BUY,FLAT,0,2,1705396500000000000,2024-01-16 09:15:00+00:00,1705411560000000000,2024-01-16 13:26:00+00:00,15060000000000,5111.97,5113.57,['0.00 USD'],0.00031,160.00 USD,True
ES.SIM-IFVGRetestStrategy-001-fa30c433-dc25-4a47-beaa-ba97eadc3f66,BACKTESTER-001,IFVGRetestStrategy-001,ES.SIM,SIM-001,O-20240116-142300-001-001-64,O-20240116-143100-001-001-65,SELL,FLAT,0,2,1705414980000000000,2024-01-16 14:23:00+00:00,1705415460000000000,2024-01-16 14:31:00+00:00,480000000000,5113.31,5122.9,['0.00 USD'],-0.00188,-959.00 USD,True
